country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tajikistan,20,25,29,62,33,41,42,53,57,69,72,78,77,69,77,81,81,79,75,74,52
Tokelau,,,,,,,,,,,,,,,,80,,,,,0
Turkmenistan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,67
Timor-Leste,,,60,68,77,76,71,63,62,89,,79,68,65,63,56,59,56,60,63,48
Tonga,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,76
Trinidad and Tobago,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Tunisia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62
Turkey,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,69
Tuvalu,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,86
Tanzania,32,35,34,35,33,31,30,30,30,32,32,32,35,39,38,39,42,46,53,59,64
Uganda,46,57,63,67,68,64,63,63,64,62,63,67,63,63,59,54,54,55,65,75,68
Ukraine,59,64,68,130,,67,71,66,69,69,67,71,90,84,74,74,75,73,75,75,55
Uruguay,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
USA,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Uzbekistan,64,65,71,80,65,68,77,66,59,70,61,57,56,81,73,67,67,72,72,73,55
St. Vincent and the Grenadines,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,170
Venezuela,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,69
British Virgin Islands,87,87,87,87,87,,,,,,87,,,87,,,,,87,,
Vietnam,38,39,41,40,43,43,44,45,46,47,48,49,52,52,53,55,56,58,57,60,58
Vanuatu,75,75,75,76,66,44,76,72,62,81,71,68,78,77,68,80,64,63,67,75,71
Wallis et Futuna,,87,87,87,,87,,87,,87,,87,,87,,,,,,87,
Samoa,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87,110
Yemen,67,66,62,58,59,56,56,60,63,69,74,73,83,86,78,60,72,73,71,73,61
South Africa,44,38,48,46,49,46,50,50,55,57,56,58,53,53,53,52,52,58,58,58,58
Zambia,63,59,71,77,74,69,68,67,64,66,66,65,62,62,61,59,62,59,58,61,68
Zimbabwe,71,76,80,77,77,71,65,62,61,76,84,78,77,81,78,81,81,82,83,72,55
